Date,Actual_Price,Linear_Regression,Random_Forest,Gradient_Boosting,ARIMA
2018-02-15,101664.0,451204.4945541637,351359.67,286674.2318130928,434946.2276078284
2018-02-16,102339.0,474115.2644823633,427844.92,629090.317190846,434760.7546894522
2018-02-17,111127.0,692327.2590689916,431383.24,377426.5448923833,434932.90974801994
2018-02-18,105518.0,461276.47224411304,354741.12,298326.8621556428,434773.1162959497
2018-02-19,112253.0,295359.76819813135,145334.51,52414.88062142589,434921.4357835255
2018-02-20,114037.0,138189.69340725447,107123.78,46872.78613846441,434783.76636221516
2018-02-21,106904.0,-59849.05398078807,111716.98,66953.39085219495,434911.55042644736
2018-02-22,10005.0,-102645.97000239357,107680.66,38330.971114504195,434792.94189511903
2018-02-23,103011.0,-22033.87796932651,112449.13,35700.93007512135,434903.03375017794
2018-02-24,981307.0,77856.16234287705,107578.18,49206.691023163665,434800.84704122867
2018-02-25,966473.0,88062.54042398975,127068.47,63928.52963494667,434895.6962344612
2018-02-26,103667.0,67441.75504112394,141972.66,59866.874863778976,434807.65768178523
2018-02-27,107256.0,376431.8454137344,165043.44,59648.67258404765,434889.3746272332
2018-02-28,103979.0,369717.776897735,165498.78,59257.95748225417,434813.52536620875
2018-03-01,10951.0,382680.5730844321,166710.63,56291.09105135187,434883.9282747367
2018-03-02,110864.0,401570.1747996708,170352.54,53825.426246343224,434818.58064559405
2018-03-03,114897.0,141860.26784750505,95887.7,52382.6332207668,434879.2359890502
2018-03-04,115126.0,-32300.78290619902,105794.32,77967.929016405,434822.93600012653
2018-03-05,115733.0,78595.55847276138,111832.0,62581.39692766661,434875.1933697807
2018-03-06,107799.0,63924.923269733874,104508.82,62392.67003807874,434826.68833971844
2018-03-07,996557.0,110508.98446877443,108485.71,49772.90115196324,434871.710467741
2018-03-08,939501.0,80078.60222720196,133662.69,57676.052820245466,434829.92115238536
2018-03-09,933755.0,284747.4286679353,408827.84,242326.8572389808,434868.7097867342
2018-03-10,8866.0,290689.3936932572,403765.59,360185.9784367433,434832.7063691055
2018-03-11,957863.0,731029.6447501918,524878.72,656992.4942329236,434866.1245623451
2018-03-12,920512.0,568360.3269981752,412980.93,276161.8647714133,434835.1059617656
2018-03-13,919485.0,803394.1143367544,421156.45,338946.0629833549,434863.89727259683
2018-03-14,826981.0,663426.6977315452,376111.27,380644.5041724154,434837.17332103226
2018-03-15,830086.0,665217.4997488928,370296.7,348076.1508599598,434861.97835986374
2018-03-16,833835.0,651566.7904841729,370137.73,348070.94818351883,434838.95444618387
2018-03-17,791688.0,878944.5222102929,410246.53,240707.4889424225,434860.32512838044
2018-03-18,822368.0,755094.5823643965,428290.81,293431.1840232975,434840.48896750563
2018-03-19,863065.0,834423.7086489085,392171.0,250779.49365811248,434858.90079336497
2018-03-20,891347.0,729032.1726956322,472756.83,337264.8515200617,434841.811028159
2018-03-21,892928.0,742436.1771561983,482138.4,336492.51533271495,434857.6736631985
2018-03-22,872847.0,850018.2826066216,416827.36,261956.81909539067,434842.95004425984
2018-03-23,887962.0,772685.6253450674,478761.58,304691.29553116515,434856.6164341369
2018-03-24,866812.0,884178.5972413328,407092.14,262135.26250257905,434843.9313590387
2018-03-25,849578.0,897933.1024465546,396740.0,261616.89892368388,434855.7055826446
2018-03-26,82094.0,670964.7222860063,498313.37,445714.100572738,434844.7768068516
2018-03-27,783304.0,809100.9799565821,480831.76,670181.2854178136,434854.92084217904
2018-03-28,795448.0,606367.6294299363,483678.15,405979.3749076878,434845.5051990482
2018-03-29,71657.0,427534.5828088318,479886.37,374565.878379797,434854.24475217226
2018-03-30,689052.0,583728.4388067863,594371.92,650859.2101927057,434846.1327424346
2018-03-31,697353.0,388919.35962500225,481610.02,374930.4280302405,434853.6622695214
2018-04-01,684423.0,368901.8996241002,483877.64,329313.9227763279,434846.6733999299
2018-04-02,70838.0,459488.19474124175,537780.44,319815.8003348784,434853.1604339215
2018-04-03,745611.0,552156.50006963,611323.65,661164.7715018454,434847.1392012387
2018-04-04,685384.0,349085.6748073874,497154.99,362090.66741671116,434852.72807946574
2018-04-05,681147.0,659601.3925741473,458300.82,228409.68210110016,434847.5405104947
2018-04-06,663632.0,631732.0401141101,423727.17,141473.7535902331,434852.35558620957
2018-04-07,691109.0,552907.6934333618,495030.09,392900.5996822905,434847.8862568812
2018-04-08,702352.0,551673.3994171786,501114.49,393243.17409673723,434852.0346661332
2018-04-09,677073.0,727112.9234593278,534597.47,319649.6858799436,434848.1841333003
2018-04-10,683476.0,684786.8045148543,511166.29,425959.91737621726,434851.7581787231
2018-04-11,696832.0,691568.0457408269,511606.74,426125.5769920344,434848.4407675391
2018-04-12,788925.0,722134.3276373884,502905.34,393222.917085417,434851.5199720988
2018-04-13,789596.0,716618.1050772133,503276.64,393121.36566654587,434848.6618697426
2018-04-14,798624.0,839067.306267535,419431.35,141951.64838896928,434851.31474613334
2018-04-15,832911.0,767968.935711805,495342.0,392812.5187601453,434848.85235946317
2018-04-16,805867.0,786279.3843654008,512790.38,426115.01553336316,434851.13793452235
2018-04-17,790209.0,808590.3137929774,506083.87,425694.92165544245,434849.01647512097
2018-04-18,816342.0,818296.4833729808,488531.56,425598.7257811506,434850.98560318496
2018-04-19,829431.0,832904.8132250924,505926.55,393638.46315795113,434849.1578683105
2018-04-20,884583.0,855383.0771962594,502379.07,393217.7144089761,434850.8543627297
